SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532744,GTN TEXTILE ,T ,Q,8.87,8.87,8.87,8.87,8.87,9.32,2,507,4497.00,
532745,INDICAP     ,X ,Q,37.05,41.00,37.05,38.35,38.35,40.25,8,104,4038.00,
532746,UNITY INFRA ,Z ,Q,0.57,0.57,0.57,0.57,0.57,0.57,1,500,285.00,
532748,PRIME FOCUS ,B ,Q,60.70,60.70,60.70,60.70,60.70,60.45,2,130,7891.00,
532749,ALLCARGO    ,B ,Q,108.85,108.85,103.85,106.15,106.00,107.95,285,16196,1720587.00,
532751,EASUNREYRL  ,B ,Q,7.30,7.39,6.98,7.38,7.38,7.33,9,2562,18410.00,
532754,GMR INFRASTR,A ,Q,16.60,16.95,16.55,16.70,16.70,16.60,605,603512,10087718.00,
532755,TECH MAH    ,A ,Q,834.70,846.00,830.00,834.55,834.55,834.70,3383,74804,62612145.00,
532756,MAHINDCIE   ,A ,Q,223.70,230.10,222.25,224.05,223.90,227.70,163,3439,778426.00,
532757,VOLTAMP TRAN,B ,Q,1117.80,1117.80,1106.05,1113.25,1107.15,1142.00,20,55,61229.00,
532759,ATLANTA     ,B ,Q,16.50,16.70,15.65,15.85,15.65,15.85,21,1588,25375.00,
532760,DEEP INDS   ,B ,Q,136.90,140.05,136.90,137.70,137.45,138.35,111,2030,279271.00,
532761,HOV SERVICES,B ,Q,137.00,143.60,136.10,136.55,136.20,138.45,187,4554,629909.00,
532762,ACTION CONST,B ,Q,97.35,102.40,96.45,100.00,100.00,98.40,651,42689,4263093.00,
532764,GEECEE      ,B ,Q,123.00,123.00,123.00,123.00,123.00,119.80,6,250,30750.00,
532766,RICHA IND   ,XT,Q,1.94,1.97,1.92,1.92,1.92,1.95,18,8100,15740.00,
532767,GAYATRI PROJ,B ,Q,161.00,170.90,156.00,168.75,168.00,161.80,104,2836,459806.00,
532768,FIEM INDS   ,B ,Q,481.00,504.00,476.05,499.00,499.00,476.95,29,156,74984.00,
532771,JHS SVEN    ,B ,Q,25.00,25.00,24.00,24.05,24.00,24.60,32,13576,328926.00,
532772,DCBBANK     ,A ,Q,213.00,215.35,211.55,213.80,213.80,212.20,756,79494,16982093.00,
